Fuzzing (with MutationEngine),0d 0h 4m 9s,16:52:37 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,41.79,69.34,3.83,4.38,0,,,,,,,,0,4.95,80.43,28.78,0,,,,0,175.92,2.18,49.79,0,false,false,false,true
Fuzzing (with MutationEngine),0d 0h 4m 10s,16:52:38 - 12.05.2025,0,0,0d 0h 0m 1s,0,0,,41.98,69.57,3.77,4.35,0,,,,,,,,0,4.95,80.24,28.78,0,,,,0,175.92,2.2,49.79,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 4m 10s,16:52:38 - 12.05.2025,0,0,0d 0h 0m 1s,0,0,,42.14,69.78,3.71,4.32,0,,,,,,,,0,4.95,80.2,28.78,0,,,,0,175.92,2.2,49.78,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 4m 11s,16:52:39 - 12.05.2025,0,0,0d 0h 0m 2s,0,0,,42.29,70.0,3.67,4.29,0,,,,,,,,0,4.95,80.17,28.78,0,,,,0,175.92,2.2,49.77,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 4m 24s,16:52:53 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,55.46,68.88,4.18,4.08,0,,,,,,,,0,5.18,96.88,33.61,0,,,,0,212.23,2.96,63.95,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 4m 24s,16:52:53 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,54.98,68.53,4.14,4.06,0,,,,,,,,0,5.18,96.52,33.61,0,,,,0,212.23,2.96,63.95,0,false,false,true,false
Fuzzing (with MutationEngine),0d 0h 4m 25s,16:52:53 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,55.11,68.69,4.11,4.04,0,,,,,,,,0,5.18,96.28,33.61,0,,,,0,212.23,2.96,63.95,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 4m 25s,16:52:53 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,55.23,68.84,4.08,4.02,0,,,,,,,,0,5.18,96.1,33.61,0,,,,0,212.23,2.96,63.94,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 4m 25s,16:52:53 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,55.33,69.0,4.06,4.0,0,,,,,,,,0,5.18,96.0,33.61,0,,,,0,212.23,2.96,63.93,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 4m 30s,16:52:58 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,59.48,69.9,3.67,3.88,0,,,,,,,,0,5.19,95.88,32.32,0,,,,0,219.3,3.06,61.96,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 4m 30s,16:52:59 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,59.56,70.05,3.65,3.86,0,,,,,,,,0,5.19,95.98,32.32,0,,,,0,219.3,3.07,61.95,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 4m 31s,16:52:59 - 12.05.2025,0,0,0d 0h 0m 1s,0,0,,59.63,70.19,3.63,3.85,0,,,,,,,,0,5.19,96.16,32.32,0,,,,0,219.3,3.08,61.95,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 4m 31s,16:53:00 - 12.05.2025,0,0,0d 0h 0m 1s,0,0,,59.7,70.33,3.61,3.83,0,,,,,,,,0,5.19,96.42,32.32,0,,,,0,219.3,3.08,61.94,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 4m 31s,16:53:00 - 12.05.2025,0,0,0d 0h 0m 1s,0,0,,59.76,70.48,3.6,3.81,0,,,,,,,,0,5.19,96.67,32.32,0,,,,0,219.3,3.08,61.94,0,true,false,false,false
